date,player,sleep_duration
2021-10-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-10-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-10-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-10-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-10-31,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-07,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,4.0
2021-11-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-11-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-11-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,5.5
2021-11-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,11.0
2021-11-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-11-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-11-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-12-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-12-02,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
